Site;Monument Description;Height of Monument (m);Monument Foundation;Foundation Depth (m);Geologic Characteristic;Sta;Lat(deg);Long(deg);Hgt(m);X(m);Y(m);Z(m);Dtbeg;Dtend;Dtmod;NumSol;StaOrigName
BORR;Steel tower on concrete platform;1.05;Concrete platform;0.30;LIMESTONE;BORR;39.9052;359.9168;72.887;4899519.0841;-7115.5412;4069961.6432;2005-07-12;2022-09-17;2022-09-26;6165.0;
BOTI;STEEL MAST;:  ROOF;:;;;BOTI;41.6929;352.3419;585.626;4727645.8019;-635681.474;4220584.6455;2008-10-28;2022-06-01;2022-06-17;4777.0;
BOUL;Steel Pin in Rock;:  UNKNOWN;:;;;BOUL;35.9067;245.2123;638.481;-2168644.804;-4696034.3402;3720182.0165;2007-03-23;2018-04-12;2022-05-11;199.0;
BRAD;Steel Pin in Rock;:  UNKNOWN;:;;;BRAD;39.7774;240.9485;1325.732;-2384066.8193;-4291875.2039;4059866.5908;2004-01-30;2022-09-19;2022-10-01;3936.0;
BRAG;STEEL MAST;:;:;;;BRAG;41.5533;351.5711;250.646;4728604.836;-700697.6849;4208773.0801;2017-01-01;2022-06-01;2022-06-17;1757.0;
BRAN;Wyatt/Agnew drilled-braced;:;:;;;BRAN;34.1849;241.723;246.245;-2502254.7099;-4651654.1617;3563569.2824;1994-12-01;2022-09-24;2022-10-01;9781.0;
BRBR;Steel Pin in Rock;:  UNKNOWN;:;;;BRBR;41.2303;239.8909;1819.743;-2410491.4763;-4156792.7142;4182890.0282;2006-08-12;2011-09-20;2022-05-11;38.0;
BRCH;PILLAR;1.52;POURED CONCRETE CYLINDER;3.66               :;;BRCH;43.2508;276.1327;159.996;497093.1536;-4626394.9773;4347946.1774;2004-06-30;2022-09-24;2022-10-01;6063.0;
BRD1;Steel Pin in Rock;:  UNKNOWN;:;;;BRD1;39.8093;240.9972;1247.393;-2379292.2406;-4291862.1732;4062539.1651;2016-03-05;2022-09-19;2022-10-01;2384.0;
BRDY;Steel Pin in Rock;:  UNKNOWN;:;;;BRDY;39.7813;240.9914;1269.092;-2380700.0896;-4293373.5117;4060166.8679;2012-01-28;2022-09-19;2022-10-01;2973.0;
BRGN;STEEL MAST;:  ROOF;:;;;BRGN;41.8074;353.2361;789.792;4728731.9668;-560842.5464;4230209.2848;2007-06-12;2022-06-01;2022-06-17;5390.0;
BRI2;SHALLOW-DRILLED BRACED;:;: BEDROCK;;;BRI2;37.9195;237.8475;265.104;-2681170.1712;-4265459.7564;3898559.3801;2019-12-07;2022-09-24;2022-10-01;1020.0;BRIC
BRIB;:;:;BEDROCK;;;BRIB;37.9194;237.8474;262.268;-2681173.1037;-4265460.5499;3898551.8989;1994-01-12;2019-03-19;2022-05-11;8558.0;
BRIC;:;:;BEDROCK;;;BRIC;37.9194;237.8474;263.176;-2681173.8788;-4265460.825;3898552.5486;2015-10-07;2016-10-20;2022-05-11;380.0;
BRID;Steel Pin in Rock;:  UNKNOWN;:;;;BRID;38.207;240.689;2127.489;-2457504.2825;-4377246.6403;3924840.9625;2005-09-23;2022-08-30;2022-09-11;1371.0;
BRIG;PILLAR;1.52;POURED CONCRETE CYLINDER;3.66               :;;BRIG;42.5201;276.2433;261.34;512038.6829;-4680414.9149;4288537.4302;2001-09-01;2022-09-24;2022-10-01;7075.0;
BRJA;BASE ANCHORED TO ROOF;2.0;ROOF;:;;BRJA;41.8349;358.4738;493.605;4757928.5271;-126764.3314;4232288.3965;2009-07-10;2019-12-31;2022-05-11;2577.0;
BRKG;:;:                      :;;;;BRKG;44.3149;263.2137;492.021;-540192.3272;-4539427.6083;4433535.2232;2011-02-23;2022-09-24;2022-10-01;4101.0;
BRMU;Bolt in concrete on top of a chimney;:;:;;;BRMU;32.3704;295.3037;-11.631;2304703.4449;-4874817.1843;3395186.9406;1994-01-14;2020-09-27;2022-05-11;8897.0;
BRNT;BLDING MOUNT 9 Pipe,W/SCIGN MT.;:  BUILDING/Concrete Block Walls;:;;;BRNT;44.4402;241.8087;1212.699;-2155275.1759;-4021033.6547;4443996.6544;2018-07-20;2022-09-24;2022-10-01;1503.0;
BROK;Steel Pin in Rock;:  UNKNOWN;:;;;BROK;39.1688;242.0574;1820.646;-2320876.5529;-4375501.4313;4008010.1841;2006-04-13;2021-10-23;2022-05-11;829.0;
BRPK;Wyatt/Agnew drilled-braced;:;: Bedrock;;;BRPK;34.6823;241.4232;1729.111;-2512215.8676;-4612170.9358;3609922.4659;2000-12-07;2019-07-09;2022-05-11;6643.0;
BRSG;Mast in chimney;:;: BEDROCK;;;BRSG;32.3704;295.3036;-10.997;2304697.0033;-4874821.8475;3395185.818;2016-02-25;2022-09-24;2022-10-01;2046.0;
BRSP;SHALLOW FOUNDATION PILLAR;:;:;;;BRSP;45.4016;238.2915;2061.282;-2358553.4788;-3817555.7426;4520261.2728;2020-10-07;2022-09-24;2022-10-01;663.0;
BRTW;PILLAR;:;:;;;BRTW;27.9496;278.2172;12.034;805863.3015;-5580462.7148;2971581.0116;2003-07-03;2022-09-20;2022-10-01;5827.0;
BRU5;METAL MAST;:;:;;;BRU5;43.8898;290.0534;2.041;1578685.0353;-4324850.0499;4399278.2829;1995-10-26;2013-07-09;2022-05-11;5903.0;
BRU6;METAL MAST;:;:;;;BRU6;43.8897;290.0534;4.906;1578683.9532;-4324861.5175;4399271.6033;1996-05-20;2013-07-09;2022-05-11;3488.0;
BRU7;METAL MAST;:;:;;;BRU7;43.8897;290.0534;4.252;1578689.4628;-4324857.2474;4399272.8665;2013-07-24;2016-08-04;2022-05-11;1086.0;
BRU8;METAL MAST;:;:;;;BRU8;43.8899;290.0533;3.998;1578676.9449;-4324851.7565;4399282.3241;2013-07-24;2016-08-04;2022-05-11;1038.0;
BRVL;Steel Pin in Rock;:  UNKNOWN;:;;;BRVL;38.4942;239.9587;2387.859;-2503291.35;-4328612.7912;3950016.067;2015-08-06;2021-08-13;2022-05-11;345.0;
BRWN;:;:                      :;;;;BRWN;44.7304;265.6438;290.797;-344763.9344;-4525819.0546;4466319.2351;2005-12-01;2022-09-24;2022-10-01;5525.0;
BRYL;PERMANENT STATION UNSPECIFIED;:;:;;;BRYL;44.6609;249.2471;2209.777;-1610730.4652;-4250790.6105;4462175.2685;2009-08-07;2020-08-18;2022-05-11;1637.0;
BSNC;BEDROCK-BOLTED MAST;:;:;;;BSNC;44.7396;247.4685;2167.157;-1739512.3377;-4193035.1703;4468368.5024;2011-10-09;2016-08-12;2022-05-11;1770.0;
BSPC;BEDROCK-BOLTED MAST;:;:;;;BSPC;44.5784;247.1371;2394.801;-1768696.1194;-4194658.4948;4455781.0609;2011-09-26;2019-08-30;2022-05-11;2873.0;
BSRY;Wyatt/Agnew drilled-braced;:;: SEDIMENTS / AEOLIAN;;;BSRY;34.9186;242.988;613.472;-2378117.7502;-4664904.7184;3630818.1448;1998-11-10;2022-09-24;2022-10-01;8703.0;
BTDM;Wyatt/Agnew drilled-braced;:;: Bedrock;;;BTDM;34.2928;241.8118;678.244;-2492027.3446;-4649905.94;3573708.8317;2000-01-28;2022-09-24;2022-10-01;7770.0;
BTON;BLDING MOUNT 2 STEEL PIPE W/SCIGN MOUNT;:  Building;:;;;BTON;45.4858;237.2026;46.76;-2426294.2575;-3765247.6686;4525396.7409;2003-05-11;2022-09-17;2022-09-26;5145.0;COBO
BUEG;SHALLOW FOUNDATION MAST;:;:;;;BUEG;34.6128;239.8036;74.803;-2643087.138;-4541933.3711;3602644.3377;2015-05-15;2022-09-24;2022-10-01;2654.0;
BUEH;BEDROCK-BOLTED MAST;:;:;;;BUEH;44.6963;247.3723;1955.074;-1747792.4026;-4193096.5447;4464799.1375;2011-11-13;2016-08-11;2022-05-11;1733.0;
BUFF;Steel Pin in Rock;:  UNKNOWN;:;;;BUFF;40.3614;242.7338;1483.505;-2230128.3635;-4327057.1289;4109606.555;2004-02-19;2018-09-11;2022-05-11;649.0;
BUIT;PILLAR;1.2;CONCRETE BLOCK;: GNEISS;;BUIT;41.0006;356.3631;1032.66;4811616.3052;-305828.8486;4163151.9285;2016-01-29;2022-09-17;2022-09-26;2251.0;
BULL;PERMANENT STATION UNSPECIFIED;:  UNKNOWN;:;;;BULL;36.9176;243.1283;1344.788;-2308136.9471;-4555161.2777;3810897.65;1999-03-23;2011-04-13;2022-05-11;4326.0;
BUOS;STEEL MAST;1.5;ROOF;0                  :;;BUOS;41.5881;356.932;963.985;4771362.9419;-255731.6987;4212133.8887;2007-04-28;2022-09-17;2022-09-26;5541.0;
BURG;STEEL MAST;1.5;ROOF;0                  :;;BURG;42.347;356.3132;939.6;4712044.3374;-303624.5307;4274801.7184;2007-03-09;2022-09-17;2022-09-26;5551.0;
BURN;SHALLOW FOUNDATION PILLAR;:  UNKNOWN;: Gravel (with clay) overlying bedrock;;;BURN;42.7795;242.1565;1180.921;-2190267.0198;-4146571.9919;4310356.9743;1998-09-03;2022-09-24;2022-10-01;8547.0;
BURR;Steel Pin in Rock;:  UNKNOWN;:;;;BURR;40.5189;240.161;1252.258;-2416384.0369;-4212593.1929;4122768.9683;2005-12-22;2021-04-20;2022-05-11;906.0;
BUST;PERMANENT STATION UNSPECIFIED;:  UNKNOWN;:;;;BUST;36.7453;243.5491;992.294;-2279604.7436;-4582000.4506;3795378.5136;1999-03-12;2010-01-24;2022-05-11;3903.0;
BUTM;Steel Pin in Rock;:  UNKNOWN;:;;;BUTM;37.3464;241.4451;1779.381;-2427368.4478;-4460467.2399;3849107.1174;2005-05-12;2020-09-14;2022-05-11;424.0;
BUTT;Steel Pin in Rock;:  UNKNOWN;:;;;BUTT;41.4789;240.1593;1747.667;-2381887.6505;-4152162.3832;4203573.8141;2006-08-10;2021-08-26;2022-05-11;868.0;
BVAL;Steel Pin in Rock;:  UNKNOWN;:;;;BVAL;39.5654;239.7628;2042.562;-2480218.6206;-4255077.4428;4042207.1521;2007-05-02;2017-10-23;2022-05-11;573.0;
BVHS;ANGLE IRON;:  WALL;:;;;BVHS;29.3368;270.5936;-15.678;57650.1947;-5564331.4556;3106490.8312;2002-08-21;2022-09-24;2022-10-01;5975.0;
BVPP;Wyatt/Agnew drilled-braced;:;: Bedrock;;;BVPP;35.1573;240.6525;123.05;-2558594.8843;-4550517.5695;3652217.0024;2002-02-02;2022-08-31;2022-09-11;7393.0;
CA99;SHALLOW FOUNDATION MAST;:;: Bedrock site;;;CA99;37.6446;241.1033;2391.538;-2444435.2147;-4428691.495;3875741.7644;2000-04-10;2022-08-29;2022-09-11;7439.0;
CAAL;PILLAR/STEEL MAST;:;:;;;CAAL;37.2211;357.4524;2210.684;5081921.2994;-226112.1277;3838297.8714;2006-11-23;2022-09-17;2022-09-26;5613.0;
CABL;PERMANENT STATION UNSPECIFIED;:  UNKNOWN;: Unconsolidated sediments with sand and gravel;;;CABL;42.8361;235.4367;37.83;-2657528.4665;-3857584.2858;4314193.2674;1997-08-17;2022-09-24;2022-10-01;9018.0;
CABO;:;:                      :;;;;CABO;37.6309;359.3016;56.468;5057218.6064;-61647.2627;3873111.572;2010-01-07;2020-10-25;2022-05-11;3368.0;
CABR;PILLAR/STEEL MAST;0;ROOF;:;;CABR;37.468;355.5758;572.125;5053918.3748;-391028.1073;3859090.1469;2007-10-30;2022-09-17;2022-09-26;4920.0;
CACC;Mast on Pier;:;:;;;CACC;41.7456;235.8157;-21.958;-2677721.139;-3942470.2052;4224548.5835;2011-09-27;2021-12-29;2022-05-11;3058.0;
CACE;PILLAR;1.20;CONCRETE BLOCK;5;CLAY;CACE;39.4789;353.6582;436.494;4899866.6621;-544567.3921;4033769.9542;2000-12-05;2022-09-16;2022-09-26;7673.0;
CACT;Wyatt/Agnew drilled-braced;:;: Sediments;;;CACT;33.6551;244.0101;518.433;-2329097.752;-4777485.2508;3514957.2279;2001-02-11;2022-09-24;2022-10-01;7223.0;
CAE1;:;:                      :;;;;CAE1;34.7513;244.77;515.324;-2236391.4772;-4746117.3067;3615527.2575;2007-01-25;2016-08-04;2022-05-11;3316.0;
CAE2;:;:                      :;;;;CAE2;34.7511;244.7701;515.312;-2236390.9631;-4746134.0683;3615505.6966;2007-01-25;2016-08-04;2022-05-11;3243.0;
CAGS;Pillar;1.50;Concrete block;0.00;Bedrock;CAGS;45.585;284.1927;234.923;1096349.128;-4335060.588;4533255.1697;1997-07-18;2022-09-24;2022-10-01;8171.0;
CAL2;BASE ANCHORED TO ROOF;1.5;ROOF;:;;CAL2;40.9214;358.7014;942.153;4825782.3765;-109395.0569;4156451.9898;2010-04-01;2019-12-31;2022-05-11;2620.0;CALA
CALA;Steel Pin in Rock;:  UNKNOWN;:;;;CALA;38.5963;241.8713;1868.938;-2353910.8289;-4403165.0953;3958552.6382;2005-11-17;2021-07-12;2022-05-11;439.0;
CALC;"10' x 2"" Galvanized Pipe";9;Galvanized Platform Railing;27;BEDROCK;CALC;29.7681;266.6571;-15.18;-323106.0189;-5531620.9723;3148081.7141;2015-01-01;2022-09-24;2022-10-01;2660.0;
CALH;STEEL MAST;1.5;ROOF;:;;CALH;42.2949;358.005;411.412;4722454.7792;-164501.4606;4270170.6705;2009-01-01;2022-09-17;2022-09-26;4725.0;
CALL;Steel Pin in Rock;:  UNKNOWN;:;;;CALL;39.6878;243.226;1845.666;-2214673.8893;-4389259.5083;4052548.3105;2007-10-19;2019-06-12;2022-05-11;482.0;
CALU;STEEL MAST;:  ROOF;:;;;CALU;41.7298;272.4616;147.954;204744.3206;-4762736.0334;4223356.0555;2003-03-10;2021-12-09;2022-05-11;5006.0;
CAM3;:;:                      :;;;;CAM3;45.5746;266.7839;272.742;-250914.1071;-4465354.9479;4532473.1112;2005-12-01;2022-07-07;2022-07-24;5173.0;CAMB
CAM5;:;:                      :;;;;CAM5;35.5293;238.9571;17.011;-2679750.4075;-4452297.7554;3685820.5839;2019-11-27;2022-09-24;2022-10-01;1021.0;
CAMB;Steel Pin in Rock;:  UNKNOWN;:;;;CAMB;38.7922;240.9269;1519.118;-2419417.1618;-4351643.8831;3975317.4148;2005-10-20;2022-02-09;2022-05-11;885.0;
CAMR;STEEL MAST;:  ROOF;:;;;CAMR;29.7985;266.6749;-11.645;-321293.0293;-5530055.1763;3151004.3087;2008-01-05;2022-09-24;2022-10-01;3587.0;
CAND;Wyatt/Agnew drilled-braced;:;: BEDROCK;;;CAND;35.9394;239.5663;568.378;-2619025.0577;-4458011.1121;3723078.9743;1999-08-21;2021-06-29;2022-05-11;7864.0;
CANT;STEEL MAST;3;CONCRETE BLOCK;3;BEDROCK;CANT;43.472;356.2019;99.283;4625924.4773;-307096.4938;4365771.4129;2000-03-12;2022-09-17;2022-09-26;8033.0;
CAP1;ALUMINUM MAST - 3 INCH;8.9;CONCRETE;0.75               :;;CAP1;37.7142;237.7779;-20.848;-2693675.5972;-4273830.1406;3880383.2159;2011-10-26;2022-09-24;2022-10-01;3590.0;CAPO
CAP5;:;:                      :;;;;CAP5;34.4077;240.4509;-26.828;-2597925.2133;-4582646.0858;3583834.1536;2021-10-20;2022-09-24;2022-10-01;304.0;CAPL
CAPT;ALUMINIUM TRIANGULAR PLATE FIXED ON TOP OF A;:  CONCRETE SLAB;:;;;CAPT;44.2952;359.7433;160.082;4572697.0373;-20484.3652;4431741.5586;2012-03-21;2022-09-24;2022-10-01;3694.0;
CARB;PERMANENT STATION UNSPECIFIED;:  UNKNOWN;:;;;CARB;33.9529;253.2644;1626.84;-1525451.3873;-5073142.4357;3543025.7042;2005-01-26;2007-06-13;2022-05-11;512.0;
CARC;STEEL MAST;1.5;MAST SCREW ANCHORED TO BUILDING WALL;0                  :;;CARC;42.3782;358.5592;420.393;4717608.3824;-118657.6498;4277009.4419;2009-12-01;2022-09-17;2022-09-26;4563.0;
CARE;Steel Pin in Rock;:  UNKNOWN;:;;;CARE;38.515;248.6809;1854.062;-1817260.8341;-4656436.7484;3951486.3576;2010-07-31;2020-09-28;2022-05-11;2747.0;
CARG;PILLAR;0.80;CONCRETE BLOCK;1;CLAY/LIMESTONE/CLAY;CARG;37.5966;359.0262;57.299;5059185.2036;-85998.689;3870099.581;2014-05-23;2022-09-17;2022-09-26;2956.0;
CARH;Wyatt/Agnew drilled-braced;:;: Bedrock;;;CARH;35.8884;239.5692;480.252;-2620445.4926;-4460941.4464;3718446.7129;2001-08-10;2021-06-29;2022-05-11;7250.0;
CARR;removeable tripod / concrete pad;:;:;;;CARR;35.8883;239.5692;478.642;-2620447.0707;-4460941.5981;3718442.6808;1994-05-22;2003-04-23;2022-05-11;3092.0;
CARS;Steel Pin in Rock;:  UNKNOWN;:;;;CARS;39.1449;240.2006;1750.247;-2462235.2426;-4299408.1891;4005911.514;2005-10-07;2022-06-26;2022-07-08;3952.0;
CARV;PILLAR;2.00;CONCRETE BLOCK;2;BEDROCK;CARV;38.0459;358.0323;902.405;5027036.8678;-172708.5825;3910012.2417;2009-09-01;2022-09-17;2022-09-26;3200.0;CARA
CAS0;STEEL MAST;1.5;CONCRETE BLOCK;:;;CAS0;42.5438;357.0862;564.213;4700702.3172;-239260.2708;4290678.1353;2009-03-07;2022-09-17;2022-09-26;4692.0;
CASA;PILLAR;:  CONCRETE PILLAR;3.00               :;;;CASA;37.6446;241.1033;2390.377;-2444430.2533;-4428687.6341;3875747.3542;1994-01-01;2005-11-26;2022-05-11;3315.0;
CASC;PILLAR;2;CONCRETE BLOCK;: BEDROCK;;CASC;38.6934;350.5815;76.032;4917536.9587;-815726.2152;3965857.3826;1997-07-19;2022-08-22;2022-09-03;8657.0;
CASE;DEEP-DRILLED BRACED;:;:;;;CASE;33.4554;242.596;776.484;-2452019.7748;-4729620.8189;3496631.7019;2013-12-07;2021-12-13;2022-05-11;2928.0;
CASI;Steel Pin in Rock;:  UNKNOWN;:;;;CASI;40.8327;240.7628;1266.504;-2360913.8935;-4217925.0861;4149214.2337;2006-08-11;2022-05-19;2022-06-17;466.0;
CASL;:;:                      :;;;;CASL;34.3446;282.1246;-17.292;1107275.1422;-5154173.912;3578066.657;2002-04-10;2009-01-06;2022-05-11;2002.0;
CASN;ALUMINUM MAST - 3 INCH;35;CONCRETE;3.5                :;;CASN;34.4157;240.1547;3.483;-2621341.9258;-4568743.3496;3584582.1854;2011-10-26;2022-09-24;2022-10-01;3935.0;
CASO;STEEL MAST;:  ROOF;:;;;CASO;43.1819;354.6576;651.875;4638385.3697;-433753.929;4342706.3496;2010-02-18;2022-09-24;2022-10-01;4443.0;
CASP;BRACED METAL PIPE;:  ROOF;:;;;CASP;42.8192;253.6159;1571.41;-1322023.1383;-4496464.0528;4313856.5813;2000-04-01;2013-01-25;2022-05-11;4475.0;
CASR;STEEL MAST - 3 INCH;6.8;CONCRETE;0.75               :;;CASR;38.4407;237.253;11.46;-2705829.2647;-4207165.8654;3943880.5634;2012-06-20;2022-09-24;2022-10-01;3699.0;
CASS;PILLAR;1.52;POURED CONCRETE CYLINDER;3.66               :;;CASS;43.602;276.8389;196.84;550879.6066;-4593314.7776;4376306.9285;2003-04-10;2011-12-01;2022-05-11;3074.0;
CAST;DEEP-DRILLED BRACED;:  UNKNOWN;:;;;CAST;39.191;249.3227;2245.042;-1748465.022;-4632725.3234;4010194.1641;1997-03-27;2022-09-24;2022-10-01;9028.0;
CAT2;shallow rod/braced antenna mount;:;:;;;CAT2;33.3116;241.6662;477.241;-2532493.7482;-4696708.5692;3483154.289;2000-06-14;2022-04-18;2022-06-17;7829.0;
CAT3;SHALLOW-DRILLED BRACED;:;:;;;CAT3;33.4458;241.517;5.122;-2540622.89;-4682556.8588;3495319.0745;1995-06-26;2022-09-24;2022-10-01;9599.0;CAT1
CATU;STEEL MAST;:  WALL;:;;;CATU;38.7304;354.4612;538.65;4959262.3165;-480911.3474;3969353.5589;2010-04-01;2022-09-17;2022-09-26;4362.0;
CATY;BASE ANCHORED TO LEDGE;1.0;ROOF;:;;CATY;41.3527;358.3602;597.746;4793284.1002;-137216.7228;4192304.5883;2010-04-01;2019-12-31;2022-05-11;2621.0;
CAYU;PERMANENT STATION UNSPECIFIED;:  UNKNOWN;:;;;CAYU;42.9435;283.4596;204.498;1088475.8334;-4547937.5176;4323051.7089;2005-10-06;2017-01-17;2022-05-11;3098.0;
CAZA;PILLAR;0;ROOF;:;;CAZA;37.9379;354.2402;663.106;5011763.688;-505522.0198;3900415.8919;2007-07-10;2022-09-17;2022-09-26;5169.0;
CBHS;Wyatt/Agnew drilled-braced;:;: BEDROCK;;;CBHS;34.1386;241.3702;284.61;-2532244.2614;-4638721.4436;3559337.9322;1999-02-17;2022-09-24;2022-10-01;7779.0;
CBRA;STEEL MAST;:  ROOF;:;;;CBRA;39.819;352.4878;436.548;4863829.8978;-641386.9445;4062849.0666;2007-03-30;2022-06-01;2022-06-17;5296.0;
CBRG;Aluminum pillar;3.35;Concrete on rock-filled wharf;N/A                :;;CBRG;43.9565;281.8356;42.469;943247.7651;-4501094.0046;4404640.5763;2011-10-11;2022-09-24;2022-10-01;3645.0;
CCCC;Wyatt/Agnew drilled-braced;:;: Sediments;;;CCCC;35.5653;242.3288;813.98;-2412475.7548;-4600712.079;3689538.4227;2000-09-07;2022-09-24;2022-10-01;7760.0;
CCCO;Wyatt/Agnew drilled-braced;:;: SEDIMENTS, FINE ALLUVIAL;;;CCCO;33.8763;241.7888;-16.944;-2505860.6711;-4671218.1219;3535049.9468;1999-01-30;2013-06-10;2022-05-11;5042.0;
CCCS;Wyatt/Agnew drilled-braced;:;": Holocene terrace; gravelly sand";;;CCCS;33.8627;242.1351;31.822;-2477995.0332;-4687050.8553;3533832.2268;1999-02-03;2022-09-24;2022-10-01;8067.0;
CCEX;STEEL MAST;:  WALL;:;;;CCEX;39.4723;353.6221;543.543;4900064.7652;-547717.7019;4033275.5899;2010-04-01;2022-09-17;2022-09-26;4371.0;
CCGE;:;:                      :;;;;CCGE;33.9628;275.5771;298.596;514676.4096;-5270744.9602;3543189.4478;2009-01-09;2012-10-18;2022-05-11;1269.0;
CCGN;:;:                      :;;;;CCGN;34.0091;275.3935;289.317;497513.1896;-5269497.8975;3547447.851;2009-01-09;2012-10-18;2022-05-11;1363.0;
CCGS;:;:                      :;;;;CCGS;33.8402;275.3882;297.866;498004.1642;-5279964.4512;3531902.0114;2009-01-09;2012-10-18;2022-05-11;1305.0;
CCMK;ANTENNA MOUNTED ON PIPE BOLTED TO TOP OF;15;Concrete;5;GLACIAL TILL/BEDROCK;CCMK;41.5897;272.3068;168.437;192296.8732;-4773624.7117;4211740.9842;2012-01-05;2020-10-17;2022-05-11;2827.0;
CCRM;ANTENNA MOUNTED ON PIPE BOLTED TO TOP OF;15;Concrete;5;GLACIAL TILL/BEDROCK;CCRM;42.0875;271.9926;195.748;164835.067;-4737771.5005;4252949.7784;2012-08-29;2021-07-23;2022-05-11;2468.0;
CCSK;ANTENNA MOUNTED ON PIPE BOLTED TO TOP OF;15;CONCRETE;5;GLACIAL TILL/BEDROCK;CCSK;42.0635;272.2328;167.591;184766.9616;-4738801.8784;4250953.2843;2013-02-14;2019-10-20;2022-05-11;2229.0;
CCST;Wyatt/Agnew drilled-braced;:;: Sediments;;;CCST;34.8064;240.9865;1578.091;-2543426.3466;-4585920.7694;3621149.8968;2003-07-24;2021-10-07;2022-05-11;4681.0;
CCV1;:;:                      :;;;;CCV1;28.4599;279.4567;-24.096;921997.9178;-5535327.8625;3021401.2185;1996-02-06;1999-01-10;2022-05-11;889.0;
CCV2;:;:                      :;;;;CCV2;28.4604;279.4571;-24.478;922031.8559;-5535297.5898;3021445.2186;1997-05-09;1998-03-31;2022-05-11;15.0;
CCV5;:;:                      :;;;;CCV5;28.4602;279.4548;-24.168;921807.1581;-5535343.2491;3021430.8827;1998-08-04;2019-09-03;2022-05-11;7297.0;
CCV6;:;:                      :;;;;CCV6;28.46;279.4545;-24.235;921785.7449;-5535361.2118;3021404.5424;1998-08-07;2019-09-03;2022-05-11;5312.0;
CCYN;Steel Pin in Rock;:  UNKNOWN;:;;;CCYN;39.1024;240.6523;1532.104;-2429641.93;-4321136.6627;4002108.9819;2007-05-04;2022-07-25;2022-08-05;1427.0;
CDJ2;ALUMINIUM TRIANGULAR PLATE FIXED ON TOP OF A;:  CONCRETE SLAB;:;;;CDJ2;44.7288;359.4701;65.13;4538704.2294;-41976.5502;4466032.1798;2014-03-11;2021-03-22;2022-05-11;2508.0;
CDJC;ALUMINIUM TRIANGULAR PLATE FIXED ON TOP OF A;:  CONCRETE SLAB;:;;;CDJC;44.7294;359.4697;65.678;4538656.2007;-42012.1441;4466081.1082;2011-10-12;2013-10-10;2022-05-11;713.0;
CDMT;SHALLOW DRILLED-BRACED;:;: Bedrock;;;CDMT;34.8295;243.6641;936.558;-2325536.3783;-4697945.8016;3622888.3871;2000-10-18;2022-09-24;2022-10-01;7884.0;
CDRD;STEEL MAST;1.5;ROOF;0                  :;;CDRD;40.59;353.4619;679.421;4819303.7271;-552338.3442;4128399.1285;2007-02-07;2022-09-17;2022-09-26;5455.0;
CDVV;PERMANENT STATION UNSPECIFIED;:  UNKNOWN;:;;;CDVV;34.2542;253.0302;1552.02;-1540686.3508;-5048882.9704;3570657.2925;2005-11-18;2018-06-11;2022-05-11;4328.0;
CEBR;PILLAR;3;CONCRETE BLOCK;2                  :;;CEBR;40.4535;355.6321;743.053;4846637.1856;-370193.26;4116911.6561;2007-04-10;2022-09-17;2022-09-26;5619.0;
CEDA;DEEP-DRILLED BRACED;:  UNKNOWN;:;;;CEDA;40.6807;247.1395;1472.496;-1882186.3578;-4464346.9544;4136557.1016;1996-07-15;2022-09-24;2022-10-01;9036.0;
CERB;Steel Pin in Rock;:  UNKNOWN;:;;;CERB;35.4646;245.9591;936.201;-2119017.4884;-4750253.3483;3680509.7676;2007-03-21;2019-08-12;2022-05-11;242.0;
CERR;Steel Pin in Rock;:  UNKNOWN;:;;;CERR;36.5364;242.1791;2043.444;-2395349.4783;-4539177.5929;3777398.1829;2005-06-30;2020-05-26;2022-05-11;492.0;
CERV;STEEL MAST;2.5;CONCRETE BLOCK;:;;CERV;42.0074;358.0568;723.315;4744255.7104;-160965.8049;4246699.5861;2009-01-01;2022-09-17;2022-09-26;4829.0;
CEU1;Brass plate with centering screw incrusted i;1.2;Concrete block;: Conglomerate;;CEU1;35.892;354.6936;52.468;5150907.8224;-478414.6827;3718518.5323;2007-08-25;2022-09-17;2022-09-26;5377.0;
CEUT;PILLAR;0.5;CONCRETE BLOCK;1;CONGLOMERATE;CEUT;35.8961;354.6887;51.85;5150601.7911;-478834.3786;3718884.8659;2001-11-15;2006-12-03;2022-06-17;1695.0;
CFHS;BUILDING WALL;:;:;;;CFHS;29.9192;264.3681;15.715;-542969.7827;-5506033.9765;3162624.8778;2015-08-05;2022-09-24;2022-10-01;2551.0;
CFJV;BUILDING WALL;:;:;;;CFJV;29.8816;264.4442;8.703;-535857.3312;-5508811.3773;3159009.5124;2015-10-09;2022-09-24;2022-10-01;2540.0;
CGDM;SHALLOW DRILLED-BRACED;:;: BEDROCK;;;CGDM;34.244;242.0351;704.681;-2475328.13;-4662294.3187;3569248.5219;2000-07-19;2022-09-24;2022-10-01;7428.0;
CHA1;:;:                      :;;;;CHA1;32.7576;280.1571;-28.899;946821.8062;-5284901.6332;3431363.1753;1995-08-30;2003-11-16;2022-05-11;2858.0;
CHAB;DEEP-DRIVEN ROD BRACED;:  UNKNOWN;:;;;CHAB;37.7241;237.8807;213.928;-2685744.8018;-4278240.8603;3881399.4515;1995-04-13;2012-12-31;2022-05-11;6235.0;
CHB5;STEEL TOWER;:;:;;;CHB5;45.6535;275.5344;145.267;430716.769;-4445226.6;4538514.1289;1995-08-15;2020-06-16;2022-05-11;8427.0;
