Site;Monument Description;Height of Monument (m);Monument Foundation;Foundation Depth (m);Geologic Characteristic;Sta;Lat(deg);Long(deg);Hgt(m);X(m);Y(m);Z(m);Dtbeg;Dtend;Dtmod;NumSol;StaOrigName
FZHS;Wyatt/Agnew drilled-braced;:;: ALLUVIAL FAN DEPOSITS;;;FZHS;34.8002;241.1066;1273.707;-2533877.1141;-4591364.7505;3620414.0581;1998-08-02;2022-07-06;2022-07-17;8556.0;
GAAE;Steel Mast attached to Masonry Building;5;Poured Concrete;1;CLAY;GAAE;33.4272;277.9322;124.373;735356.6866;-5277639.0605;3493670.8102;2012-02-11;2022-09-23;2022-10-01;3325.0;
GAAT;STEEL MAST;10;STEEL BUILDING;:;;GAAT;33.9525;276.6747;221.71;615613.2943;-5260490.8877;3542196.6572;2005-03-08;2018-10-01;2022-05-12;4470.0;
GAAU;STEEL MAST;6.5;MASONARY BUILDING;4.88               :;;GAAU;33.4714;277.9662;113.031;738109.1004;-5274517.6603;3497753.6279;2013-08-05;2022-09-24;2022-10-01;3246.0;
GAAY;Steel Mast;6.5;Concrete Pillar;4.0                :;;GAAY;31.6614;275.7251;55.893;542062.8773;-5406804.979;3328558.8562;2016-04-08;2022-09-24;2022-10-01;2346.0;
GABB;PERMANENT STATION UNSPECIFIED;:  UNKNOWN;: ROCK;;;GABB;38.9703;242.0836;1550.281;-2325277.988;-4388649.4728;3990731.9254;1999-03-23;2010-12-10;2022-05-12;4249.0;
GABG;STEEL MAST;7.5;STEEL BUILDING;:;;GABG;34.3104;275.5739;345.032;512280.2014;-5249276.8456;3575130.4935;2005-03-09;2008-08-17;2022-05-12;467.0;
GABK;STEEL MAST BRACKETED AND BOLTED;2.5;MASONRY BUILDING WITH CONCRETE FOUNDATI:   1                  :;;;GABK;31.1507;278.5039;-15.297;807898.4363;-5403288.8832;3280196.7545;2009-03-19;2017-01-07;2022-05-12;2706.0;
GABN;STEEL MAST;4;Steel reinforced concrete foundation.;2                  :;;GABN;34.1353;276.2226;277.237;572860.696;-5253941.7987;3559035.0827;2011-04-11;2022-09-24;2022-10-01;3953.0;
GABR;STEEL MAST;9;MASONARY BUILDING;:;;GABR;34.8644;275.6729;515.563;517914.2883;-5213801.5177;3625831.2739;2005-06-01;2017-10-04;2022-05-12;3099.0;
GABY;STEEL MAST BRACKETED AND BOLTED;8.2;MASONARY BUILDING WITH A CONCRETE FOUND:   2                  :;;;GABY;31.3776;275.0648;63.603;481172.0132;-5429084.5932;3301740.0122;2009-03-14;2022-09-24;2022-10-01;4776.0;
GACC;STEEL MAST;:  ROOF;:;;;GACC;33.5458;277.8662;98.5;728279.8418;-5271277.0016;3504619.7661;2003-11-07;2022-09-24;2022-10-01;6295.0;
GACL;STEEL MAST;8;STEEL BUILDING;:;;GACL;33.6327;274.8443;323.246;448941.666;-5297210.1699;3512778.4401;2005-03-09;2012-05-17;2022-05-12;2212.0;
GACO;STEEL MAST;6.7;STEEL BUILDING;:;;GACO;33.6066;276.1192;195.414;566854.1544;-5287401.1064;3510291.6939;2005-03-09;2011-06-02;2022-05-12;2157.0;
GACR;STEEL MAST;9.8;MASONARY BUILDING;:;;GACR;32.381;276.6538;97.847;624725.3605;-5355320.0286;3396234.7463;2005-05-25;2022-09-24;2022-10-01;5344.0;
GACU;Brick building/Stainless steel mount;7;Concrete/Brick;.457;CbE2, EaE;GACU;34.2116;275.8749;378.691;540488.4819;-5252674.2222;3566096.8525;2010-01-01;2020-06-18;2022-05-12;3725.0;
GAEU;STEEL MAST;2.35;CONCRETE;:;;GAEU;34.1493;275.0529;185.974;465402.3896;-5263595.9228;3560272.222;2005-03-08;2007-01-15;2022-05-12;588.0;
GAFC;STEEL MAST;6.6;MASONARY BUILDING;:;;GAFC;33.7703;275.4751;222.904;506423.9991;-5283433.1891;3525419.7023;2005-03-09;2007-02-07;2022-05-12;611.0;
GAGR;STEEL MAST;9;STEEL BUILDING;:;;GAGR;33.2278;275.7221;264.161;532502.3585;-5314281.14;3475264.871;2005-03-09;2013-09-15;2022-05-12;2670.0;
GAIA;Pillar with a metal structure;2.476;CONCRETE BLOCK;1;see additional information;GAIA;41.106;351.4109;287.657;4759095.5008;-718818.6988;4171491.322;2000-01-02;2022-08-22;2022-09-03;7794.0;
GAIT;STEEL MAST;:  ROOF;:;;;GAIT;39.134;282.779;107.73;1095790.0599;-4831326.6598;4003934.3582;1994-04-22;2009-12-18;2022-05-12;4734.0;
GAL2;:;:                      :;;;;GAL2;29.3301;265.2633;-17.323;-459538.1355;-5545988.5149;3105838.9774;1997-07-30;2003-01-23;2022-05-12;468.0;
GAL7;:;:                      :;;;;GAL7;29.3299;265.2632;-17.441;-459551.1792;-5545997.6577;3105820.604;1996-01-12;2003-07-10;2022-05-12;2679.0;GAL1
GALB;STEEL MAST;:  ROOF;:;;;GALB;39.2127;275.5145;142.566;475545.5673;-4925638.9204;4010732.9624;1998-01-06;2008-04-30;2022-05-12;2893.0;
GALE;Steel Pin in Rock;:  UNKNOWN;:;;;GALE;36.2191;245.261;598.548;-2156101.4542;-4679310.3077;3748182.9397;2007-03-22;2018-06-04;2022-05-12;182.0;
GALP;Pillar;2.4;Reinforced Concrete;3.7                :;;GALP;38.8442;277.7222;168.25;668399.8777;-4929212.7156;3978967.624;2003-01-03;2022-09-24;2022-10-01;7095.0;
GALV;STEEL MAST;8.41;MASONARY BUILDING;:;;GALV;33.9779;276.0198;302.674;555284.7207;-5265682.9041;3544582.3002;2005-03-09;2010-04-21;2022-05-12;1772.0;
GAMC;STEEL MAST;10;STEEL BUILDING;:;;GAMC;32.7018;276.3514;91.395;594335.9952;-5339514.3422;3426227.4778;2005-03-08;2013-12-05;2022-05-12;2785.0;
GAML;STEEL MAST;6.5;MASONARY BUILDING;:;;GAML;33.1534;276.7579;91.994;628997.3119;-5308132.0795;3468260.9755;2005-03-10;2009-04-04;2022-05-12;1084.0;
GANW;STEEL MAST;7;STEEL BUILDING;:;;GANW;33.3058;275.2326;260.091;486655.7164;-5313907.8126;3482494.4688;2005-03-08;2022-09-24;2022-10-01;5883.0;
GARC;Steel Pin in Rock;:  UNKNOWN;:;;;GARC;40.4169;240.6444;1643.832;-2384506.9046;-4239496.5605;4114406.4308;2006-07-07;2022-09-19;2022-10-01;828.0;
GARD;Steel Pin in Rock;:  UNKNOWN;:;;;GARD;36.1611;245.0588;571.0;-2174195.2102;-4675096.3373;3742973.9929;2007-03-20;2018-06-04;2022-05-12;246.0;
GARF;STEEL MAST on Building;:  ROOF;:;;;GARF;41.4158;278.3851;253.1;698558.3491;-4739152.9818;4197329.7052;2003-03-21;2022-09-24;2022-10-01;7000.0;
GARL;DEEP-DRILLED BRACED;:  UNKNOWN;: ROCK;;;GARL;40.4165;240.6445;1640.227;-2384509.0371;-4239524.9355;4114370.6011;1996-07-22;2022-09-24;2022-10-01;9416.0;
GARR;Steel Pin in Rock;:  UNKNOWN;:;;;GARR;40.6256;241.0207;1738.941;-2349349.3711;-4241954.3073;4132088.882;2006-07-06;2018-05-09;2022-05-12;279.0;
GASA;STEEL MAST;8;Steel reinforced concrete building foun:   2                  :;;;GASA;32.0238;278.9398;-22.697;841104.782;-5346890.9989;3362652.9358;2015-06-21;2022-09-24;2022-10-01;2532.0;
GASB;MAST;:;:;;;GASB;39.6547;237.2841;1361.937;-2658220.5147;-4138072.7265;4049411.7778;2011-06-17;2019-04-06;2022-05-12;1878.0;
GASK;STEEL MAST;9;MASONARY BUILDING 1960 CONSTRUCTION;:;;GASK;31.9876;278.9771;-23.122;844918.5847;-5348441.8131;3359250.9304;2008-05-08;2012-03-17;2022-05-12;1316.0;
GAST;STEEL MAST;:  ROOF;:;;;GAST;35.3111;278.8112;212.387;798177.3097;-5149234.2267;3666204.8269;2002-10-02;2022-09-24;2022-10-01;6988.0;
GATF;STEEL MAST;6.5;MASONARY BUILDING;:;;GATF;31.4519;276.4909;96.138;615653.9811;-5411187.8268;3308789.951;2009-03-23;2022-09-24;2022-10-01;4737.0;
GATI;Steel mast;1.50 over building;Fixed to bulding;-;-;GATI;45.4809;284.311;34.443;1107309.2133;-4340654.6505;4525003.8202;2016-04-28;2022-09-17;2022-09-26;2169.0;
GATZ;STEEL MAST;6.00;CONCRETE BLOCK;1.00;PIT RUN GRAVEL;GATZ;44.777;296.7946;13.311;2044385.9036;-4048151.1806;4469799.8632;2015-11-22;2022-09-24;2022-10-01;2496.0;
GBIG;SHALLOW-DRILLED BRACED;:;:;;;GBIG;43.986;247.9356;1552.114;-1727109.9668;-4260953.8985;4408046.5025;2008-11-01;2022-08-03;2022-09-12;3626.0;
GBN1;PERMANENT STATION UNSPECIFIED;:;:;;;GBN1;44.5646;238.5607;864.903;-2374451.5934;-3883985.0814;4453610.6116;2010-06-04;2019-09-25;2022-05-12;711.0;
GBN2;PERMANENT STATION UNSPECIFIED;:;:;;;GBN2;44.5592;238.4347;1270.71;-2383356.2668;-3879355.0943;4453472.7135;2009-07-17;2019-09-24;2022-05-12;767.0;
GBN3;PERMANENT STATION UNSPECIFIED;:;:;;;GBN3;44.5484;238.2874;1143.569;-2393718.2646;-3873857.3516;4452524.7211;2009-07-17;2019-09-23;2022-05-12;706.0;
